Sale Date,ISBN,Discount,ItemID,OrderID
01/07/2019,989-28-229-5891-8,0.1,107200-23-3302,107200-18836
01/07/2019,989-28-229-5891-8,0.1,107200-23-3652,107200-18836
01/07/2019,989-28-79-26824-4,,107200-51-8208,107200-18836
01/07/2019,989-28-79-13801-1,,107200-44-7413,107200-18837
01/07/2019,989-28-79-91028-0,,107200-5-5610,107200-18837
01/07/2019,989-28-79-51397-9,,107200-58-2426,107200-18837
01/07/2019,989-28-79-91028-0,,107200-21-1504,107200-18838
01/07/2019,989-28-79-05670-4,,107200-34-473,107200-18838
01/07/2019,989-28-229-9769-6,,107200-34-5854,107200-18838
01/07/2019,989-28-79-13871-4,,107200-63-6400,107200-18838
01/07/2019,989-28-79-74374-1,,107200-70-2989,107200-18838
02/07/2019,989-28-3705-007-2,,107201-8-6746,107201-18839
02/07/2019,989-28-3705-007-2,,107201-39-7164,107201-18840
02/07/2019,989-28-3705-369-1,,107201-32-5106,107201-18841
02/07/2019,989-28-3705-007-2,,107201-19-264,107201-18842
02/07/2019,989-28-3705-007-2,,107201-41-1812,107201-18843
02/07/2019,989-28-3705-138-3,,107201-52-7474,107201-18844
02/07/2019,989-28-3705-007-2,,107201-86-7931,107201-18845
02/07/2019,989-28-3705-007-2,,107201-22-7946,107201-18846
02/07/2019,989-28-3705-987-7,,107201-1-6733,107201-18847
02/07/2019,989-28-3705-007-2,,107201-60-9774,107201-18848
02/07/2019,989-28-3705-592-3,,107201-22-8621,107201-18849
02/07/2019,989-28-3705-649-4,,107201-88-7046,107201-18850
02/07/2019,989-28-3705-987-7,,107201-79-1284,107201-18851
02/07/2019,989-28-3705-007-2,,107201-43-1378,107201-18852
02/07/2019,989-28-3705-987-7,0.13,107201-42-2220,107201-18853
02/07/2019,989-28-3705-007-2,,107201-85-2028,107201-18854
02/07/2019,989-28-3705-152-9,,107201-46-9132,107201-18855
02/07/2019,989-28-3705-007-2,,107201-89-3083,107201-18856
02/07/2019,989-28-3705-987-7,,107201-58-2419,107201-18857
02/07/2019,989-28-3705-007-2,,107201-50-6709,107201-18858
02/07/2019,989-28-3705-592-3,,107201-1-379,107201-18859
02/07/2019,989-28-3705-987-7,,107201-73-6684,107201-18860
02/07/2019,989-28-79-45675-7,,107201-2-9241,107201-18861
02/07/2019,989-28-79-42728-3,,107201-18-1184,107201-18862
02/07/2019,989-28-79-82197-5,,107201-11-3543,107201-18863
02/07/2019,989-28-79-11297-4,,107201-20-4095,107201-18864
02/07/2019,989-28-79-61125-5,,107201-44-4411,107201-18865
02/07/2019,989-28-79-67891-3,,107201-9-6961,107201-18866
02/07/2019,989-28-79-32105-5,,107201-95-4467,107201-18867
02/07/2019,989-28-79-01991-4,,107201-71-9111,107201-18868
02/07/2019,989-28-79-18127-7,,107201-66-5417,107201-18869
02/07/2019,989-28-79-07610-8,,107201-51-2927,107201-18870
02/07/2019,989-28-79-70597-8,,107201-86-167,107201-18871
02/07/2019,989-28-79-16826-1,,107201-57-788,107201-18872
02/07/2019,989-28-79-45675-7,,107201-87-667,107201-18873
02/07/2019,989-28-79-45675-7,,107201-75-4864,107201-18874
02/07/2019,989-28-79-45675-7,,107201-35-3474,107201-18875
02/07/2019,989-28-79-82197-5,,107201-25-9359,107201-18876
02/07/2019,989-28-79-27078-0,,107201-9-3510,107201-18877
02/07/2019,989-28-79-16826-1,,107201-32-2372,107201-18878
02/07/2019,989-28-79-30536-9,,107201-62-4950,107201-18879
02/07/2019,989-28-79-61125-5,,107201-78-5406,107201-18880
02/07/2019,989-28-79-86624-2,,107201-99-5392,107201-18881
02/07/2019,989-28-79-07610-8,,107201-40-1976,107201-18882
02/07/2019,989-28-79-45675-7,,107201-61-3197,107201-18883
02/07/2019,989-28-79-11297-4,,107201-31-3860,107201-18884
02/07/2019,989-28-654-5018-9,,107201-2-3172,107201-18885
02/07/2019,989-28-79-05670-4,,107201-35-3957,107201-18886
02/07/2019,989-28-79-82749-6,,107201-19-1399,107201-18887
02/07/2019,989-28-79-82749-6,,107201-19-1398,107201-18888
02/07/2019,989-28-79-13871-4,,107201-72-9378,107201-18889
02/07/2019,989-28-79-69807-2,,107201-89-2648,107201-18890
02/07/2019,989-28-79-13871-4,,107201-15-1070,107201-18891
02/07/2019,989-28-79-82749-6,,107201-84-8420,107201-18892
02/07/2019,989-28-79-13871-4,,107201-15-1069,107201-18893
02/07/2019,989-28-79-69807-2,,107201-89-2647,107201-18894
02/07/2019,989-28-79-82749-6,,107201-84-8419,107201-18895
02/07/2019,989-28-79-82125-8,,107201-47-9645,107201-18896
02/07/2019,989-28-79-13871-4,,107201-87-8813,107201-18897
02/07/2019,989-28-79-05670-4,,107201-20-8646,107201-18898
02/07/2019,989-28-79-13871-4,,107201-72-9377,107201-18899
02/07/2019,989-28-79-13871-4,,107201-80-5841,107201-18900
02/07/2019,989-28-79-05670-4,,107201-88-4610,107201-18901
02/07/2019,989-28-79-13871-4,,107201-87-8812,107201-18902
02/07/2019,989-28-79-82125-8,,107201-23-4096,107201-18903
02/07/2019,989-28-79-05670-4,,107201-17-7973,107201-18904
02/07/2019,989-28-79-69807-2,,107201-28-4027,107201-18905
02/07/2019,989-28-79-69807-2,0.13,107201-42-5518,107201-18906
02/07/2019,989-28-79-69807-2,,107201-94-9235,107201-18907
02/07/2019,989-28-79-69807-2,,107201-28-4026,107201-18908
02/07/2019,989-28-79-13871-4,,107201-36-7553,107201-18909
02/07/2019,989-28-79-13871-4,,107201-80-5840,107201-18910
02/07/2019,989-28-79-69807-2,,107201-94-9234,107201-18911
02/07/2019,989-28-79-82125-8,,107201-94-7743,107201-18912
02/07/2019,989-28-79-13871-4,,107201-96-8141,107201-18913
02/07/2019,989-28-79-05670-4,,107201-39-7828,107201-18914
02/07/2019,989-28-79-22562-9,,107201-81-8618,107201-18915
02/07/2019,989-28-79-13871-4,,107201-96-8140,107201-18916
02/07/2019,989-28-79-13871-4,,107201-36-7552,107201-18917
02/07/2019,989-28-79-69807-2,0.13,107201-42-5517,107201-18918
02/07/2019,989-28-79-05670-4,,107201-84-6855,107201-18919
02/07/2019,989-28-654-0047-4,,107201-8-9079,107201-18920
02/07/2019,989-28-654-5771-3,,107201-18-9912,107201-18921
02/07/2019,989-28-654-5771-3,,107201-18-9911,107201-18922
02/07/2019,989-28-654-5771-3,,107201-18-9910,107201-18923
02/07/2019,989-28-229-1404-4,,107201-36-515,107201-18924
02/07/2019,989-28-229-1404-4,,107201-31-5116,107201-18925
02/07/2019,989-28-229-1404-4,,107201-89-5048,107201-18926
02/07/2019,989-28-229-6632-6,,107201-18-6287,107201-18927
02/07/2019,989-28-229-6632-6,,107201-33-8799,107201-18928
02/07/2019,989-28-229-7592-2,,107201-58-9165,107201-18929
02/07/2019,989-28-229-9769-6,,107201-99-8094,107201-18930
02/07/2019,989-28-229-1404-4,,107201-71-2986,107201-18931
02/07/2019,989-28-229-6632-6,,107201-74-1003,107201-18932
02/07/2019,989-28-229-5891-8,0.1,107201-7-5632,107201-18933
02/07/2019,989-28-229-1404-4,,107201-94-4185,107201-18934
02/07/2019,989-28-229-7592-2,,107201-90-2353,107201-18935
02/07/2019,989-28-229-6632-6,,107201-40-723,107201-18936
02/07/2019,989-28-229-6632-6,,107201-55-41,107201-18937
02/07/2019,989-28-229-9769-6,,107201-87-1121,107201-18938
02/07/2019,989-28-229-3157-7,,107201-39-5310,107201-18939
02/07/2019,989-28-229-0197-6,,107201-21-1437,107201-18940
02/07/2019,989-28-229-5891-8,0.1,107201-21-8810,107201-18941
02/07/2019,989-28-229-6632-6,,107201-72-5919,107201-18942
02/07/2019,989-28-229-7592-2,,107201-84-2278,107201-18943
02/07/2019,989-28-79-74374-1,,107201-10-9524,107201-18944
02/07/2019,989-28-79-74374-1,,107201-9-5954,107201-18947
02/07/2019,989-28-79-26824-4,,107201-17-3573,107201-18948
02/07/2019,989-28-79-68089-3,0.05,107201-34-6591,107201-18949
02/07/2019,989-28-79-51397-9,,107201-91-419,107201-18950
02/07/2019,989-28-79-74374-1,,107201-13-6435,107201-18951
02/07/2019,989-28-79-91028-0,,107201-26-1252,107201-18952
02/07/2019,989-28-79-74374-1,,107201-59-6065,107201-18953
02/07/2019,989-28-79-13801-1,,107201-8-1410,107201-18954
02/07/2019,989-28-79-13801-1,,107201-29-653,107201-18955
02/07/2019,989-28-79-91028-0,,107201-22-8960,107201-18956
02/07/2019,989-28-79-36485-4,,107201-2-3424,107201-18957
02/07/2019,989-28-79-74374-1,,107201-68-7134,107201-18958
02/07/2019,989-28-79-68089-3,0.05,107201-71-4542,107201-18959
02/07/2019,989-28-79-74374-1,,107201-75-6915,107201-18960
02/07/2019,989-28-79-71565-6,,107201-96-1960,107201-18961
02/07/2019,989-28-79-13801-1,,107201-89-8400,107201-18962
02/07/2019,989-28-79-68089-3,0.15,107201-1-8246,107201-18963
02/07/2019,989-28-79-40897-8,,107201-89-6997,107201-18964
02/07/2019,989-28-79-71565-6,,107201-47-4496,107201-18965
02/07/2019,989-28-79-51397-9,,107201-77-3680,107201-18966
02/07/2019,989-28-79-55752-2,,107201-93-7981,107201-18967
02/07/2019,989-28-79-74374-1,,107201-45-6221,107201-18968
02/07/2019,989-28-79-23023-4,,107201-96-8839,107201-18969
02/07/2019,989-28-79-74374-1,,107201-26-1690,107201-18970
02/07/2019,989-28-79-55824-6,,107201-29-146,107201-18971
02/07/2019,989-28-79-13801-1,,107201-80-6087,107201-18972
02/07/2019,989-28-79-13801-1,,107201-89-4378,107201-18973
02/07/2019,989-28-79-74374-1,,107201-46-5266,107201-18974
02/07/2019,989-28-79-91028-0,,107201-64-1993,107201-18975
02/07/2019,989-28-79-68089-3,0.05,107201-10-4427,107201-18976
02/07/2019,989-28-79-44730-4,,107201-29-5859,107201-18977
02/07/2019,989-28-79-13801-1,,107201-73-2672,107201-18978
02/07/2019,989-28-79-69359-6,,107201-22-9785,107201-18979
02/07/2019,989-28-79-26824-4,,107201-31-7016,107201-18980
02/07/2019,989-28-79-23023-4,,107201-65-7240,107201-18981
02/07/2019,989-28-79-55752-2,,107201-86-7549,107201-18982
02/07/2019,989-28-79-13801-1,,107201-78-8197,107201-18983
02/07/2019,989-28-79-23023-4,,107201-98-790,107201-18984
02/07/2019,989-28-79-40897-8,,107201-99-8099,107201-18985
02/07/2019,989-28-79-74374-1,,107201-60-3312,107201-18987
02/07/2019,989-28-79-74374-1,,107201-89-8888,107201-18988
02/07/2019,989-28-79-71565-6,,107201-48-4486,107201-18989
02/07/2019,989-28-79-13801-1,,107201-10-3313,107201-18990
02/07/2019,989-28-79-26824-4,,107201-73-5965,107201-18991
02/07/2019,989-28-79-68089-3,0.05,107201-10-6497,107201-18992
02/07/2019,989-28-79-91028-0,,107201-24-3048,107201-18993
02/07/2019,989-28-79-13801-1,,107201-78-5356,107201-18994
02/07/2019,989-28-79-74374-1,,107201-7-1533,107201-18995
02/07/2019,989-28-79-82339-9,,107201-19-4661,107201-18996
02/07/2019,989-28-79-71565-6,,107201-4-6337,107201-18997
02/07/2019,989-28-79-13801-1,,107201-84-5566,107201-18998
02/07/2019,989-28-79-23023-4,,107201-25-4409,107201-18999
02/07/2019,989-28-79-13801-1,,107201-69-6234,107201-19000
02/07/2019,989-28-79-91028-0,,107201-79-6697,107201-19001
02/07/2019,989-28-79-13801-1,,107201-44-3514,107201-19002
02/07/2019,989-28-79-74374-1,,107201-58-6374,107201-19003
02/07/2019,989-28-79-40897-8,,107201-33-7973,107201-19004
02/07/2019,989-28-79-71565-6,,107201-25-5447,107201-19005
02/07/2019,989-28-79-55752-2,,107201-51-8529,107201-19006
02/07/2019,989-28-79-40897-8,,107201-53-6530,107201-19007
02/07/2019,989-28-3705-222-9,,107201-99-3186,107201-19008
02/07/2019,989-28-3705-492-6,,107201-82-2006,107201-19009
02/07/2019,989-28-79-03683-6,,107201-82-4705,107201-19010
02/07/2019,989-28-3705-222-9,,107201-85-623,107201-19011
02/07/2019,989-28-3705-222-9,,107201-51-21,107201-19012
02/07/2019,989-28-79-03683-6,,107201-68-210,107201-19013
02/07/2019,989-28-3705-222-9,,107201-65-6664,107201-19014
02/07/2019,989-28-3705-222-9,,107201-90-3183,107201-19015
02/07/2019,989-28-3705-222-9,,107201-40-7482,107201-19016
02/07/2019,989-28-3705-492-6,,107201-63-3075,107201-19017
