,,,,,,
BookName,AuthorName,AverageRating,RatingCount,Score,TotalPeopleVoted
 Hotel Magnifique ,Emily J. Taylor,3.86 avg rating ," 3,553 ratings","score: 3,326",38 people voted
 The Book of Cold Cases ,Simone St. James,3.90 avg rating ," 36,857 ratings","score: 3,268",35 people voted
" Untitled (Untitled, #1) ",S.A. Chakraborty,4.75 avg rating , 8 ratings,"score: 3,263",35 people voted
 The Paris Apartment ,Lucy Foley,3.70 avg rating ," 101,630 ratings","score: 3,068",34 people voted
 Elektra ,Jennifer Saint,3.98 avg rating ," 2,452 ratings","score: 3,017",34 people voted
 Sea of Tranquility ,Emily St. John Mandel,4.24 avg rating ," 26,851 ratings","score: 2,977",33 people voted
 The Daughter of Doctor Moreau ,Silvia Moreno-Garcia,4.11 avg rating , 284 ratings,"score: 2,947",33 people voted
 A Far Wilder Magic ,Allison Saft,4.02 avg rating ," 3,015 ratings","score: 2,920",33 people voted
 It Starts with Us ,Colleen Hoover,4.79 avg rating ," 1,943 ratings","score: 2,907",31 people voted
" The Golden Enclaves (The Scholomance, #3) ",Naomi Novik,4.42 avg rating , 120 ratings,"score: 2,840",30 people voted
" The Odyssey (Stephen Fry's Great Mythology, #4) ",Stephen Fry,4.55 avg rating , 44 ratings,"score: 2,728",29 people voted
 Something Wilder ,Christina Lauren,3.88 avg rating ," 7,045 ratings","score: 2,723",30 people voted
 A Forgery of Roses ,Jessica S. Olson,3.81 avg rating ," 1,921 ratings","score: 2,713",30 people voted
 Bravely ,Maggie Stiefvater,4.02 avg rating , 960 ratings,"score: 2,559",29 people voted
" The Lost Metal (Mistborn, #7) ",Brandon Sanderson,4.35 avg rating ," 1,749 ratings","score: 2,527",27 people voted
" The Hourglass Throne (The Tarot Sequence, #3) ",K.D. Edwards,4.71 avg rating , 793 ratings,"score: 2,437",26 people voted
" Home for Christmas (Christmas Romantic Comedy, #3) ",Camilla Isley,4.08 avg rating , 204 ratings,"score: 2,427",25 people voted
" Locklands (The Founders Trilogy, #3) ",Robert Jackson Bennett,4.15 avg rating , 108 ratings,"score: 2,395",26 people voted
 Portrait of a Thief ,Grace D. Li,3.62 avg rating ," 5,828 ratings","score: 2,350",27 people voted
" Four Aunties and a Wedding (Aunties, #2) ",Jesse Q. Sutanto,3.57 avg rating ," 5,836 ratings","score: 2,286",25 people voted
 So This Is Ever After ,F.T. Lukens,4.06 avg rating ," 3,374 ratings","score: 2,238",25 people voted
" Hunt the Stars (Starlight's Shadow, #1) ",Jessie Mihalik,4.16 avg rating ," 3,304 ratings","score: 2,233",24 people voted
" Ashes of Gold (Wings of Ebony, #2) ",J. Elle,4.10 avg rating , 320 ratings,"score: 2,232",23 people voted
 Made in Manhattan ,Lauren Layne,3.79 avg rating ," 4,720 ratings","score: 2,212",24 people voted
" Something Fabulous (Something Fabulous, #1) ",Alexis  Hall,3.66 avg rating ," 4,060 ratings","score: 2,208",24 people voted
" The Ivory Key (The Ivory Key Duology, #1) ",Akshaya Raman,3.82 avg rating ," 2,352 ratings","score: 2,191",24 people voted
" An Impossible Impostor (Veronica Speedwell, #7) ",Deanna Raybourn,4.15 avg rating ," 4,277 ratings","score: 2,168",24 people voted
 To Paradise ,Hanya Yanagihara,3.82 avg rating ," 15,308 ratings","score: 2,113",22 people voted
" A Prayer for the Crown-Shy (Monk & Robot, #2) ",Becky Chambers,4.66 avg rating , 282 ratings,"score: 2,033",22 people voted
" Untitled (Skybriar, #1) ",Talia Hibbert,4.78 avg rating , 9 ratings,"score: 2,019",22 people voted
 Nettle & Bone ,T. Kingfisher,4.40 avg rating ," 3,640 ratings","score: 1,954",23 people voted
" The First Binding (Tales of Tremaine, #1) ",R.R. Virdi,4.50 avg rating , 58 ratings,"score: 1,907",20 people voted
 A Brush with Love ,Mazey Eddings,3.85 avg rating ," 6,407 ratings","score: 1,904",21 people voted
 One of Us Is Back (One of Us is Lying #3) ,Karen M. McManus,4.64 avg rating , 316 ratings,"score: 1,883",20 people voted
" Be the Serpent (October Daye, #16) ",Seanan McGuire,4.62 avg rating , 16 ratings,"score: 1,853",20 people voted
 Siren Queen ,Nghi Vo,3.89 avg rating ," 1,322 ratings","score: 1,806",21 people voted
" Oddball (Sarah's Scribbles, #4) ",Sarah Andersen,4.29 avg rating ," 3,979 ratings","score: 1,709",18 people voted
 Part of Your World ,Abby Jimenez,4.48 avg rating ," 17,753 ratings","score: 1,709",19 people voted
" Storm Echo (Psy-Changeling Trinity, #6; Psy-Changeling, #21) ",Nalini Singh,4.38 avg rating , 85 ratings,"score: 1,694",18 people voted
" Beyond the End of the World (The Other Side of the Sky, #2) ",Amie Kaufman,3.98 avg rating , 778 ratings,"score: 1,689",18 people voted
" Spelunking Through Hell (Incryptid, #11) ",Seanan McGuire,4.36 avg rating ," 1,404 ratings","score: 1,653",18 people voted
" Crimson Reign (Blood Heir Trilogy, #3) ",Amélie Wen Zhao,really liked it 4.00 avg rating , 492 ratings,"score: 1,629",18 people voted
" Master of Iron (Bladesmith, #2) ",Tricia Levenseller,4.41 avg rating , 87 ratings,"score: 1,628",18 people voted
" The Bone Spindle (The Bone Spindle, #1) ",Leslie Vedder,3.84 avg rating ," 1,722 ratings","score: 1,583",18 people voted
" My Imaginary Mary (Mary, #2) ",Cynthia Hand,3.92 avg rating , 71 ratings,"score: 1,536",17 people voted
" A Duel With The Vampire Lord (Married to Magic, #3) ",Elise Kova,4.50 avg rating , 22 ratings,"score: 1,506",18 people voted
 The Maid ,Nita Prose,3.89 avg rating ," 119,853 ratings","score: 1,502",16 people voted
" Archangel's Resurrection (Guild Hunter, #15) ",Nalini Singh,4.56 avg rating , 41 ratings,"score: 1,500",16 people voted
" Finlay Donovan Knocks 'Em Dead (Finlay Donovan, #2) ",Elle Cosimano,4.04 avg rating ," 20,256 ratings","score: 1,497",17 people voted
" Silverborn: The Mystery of Morrigan Crow (Nevermoor, #4) ",Jessica  Townsend,4.63 avg rating , 84 ratings,"score: 1,490",16 people voted
" The Oleander Sword (Burning Kingdoms, #2) ",Tasha Suri,4.26 avg rating , 46 ratings,"score: 1,408",17 people voted
 Wishtress ,Nadine Brandes,4.13 avg rating , 46 ratings,"score: 1,399",14 people voted
" The Final Gambit (The Inheritance Games, #3) ",Jennifer Lynn Barnes,4.61 avg rating , 428 ratings,"score: 1,317",14 people voted
 The Lunar Housewife ,Caroline  Woods,4.66 avg rating , 38 ratings,"score: 1,300",13 people voted
" The Iron Sword (The Iron Fey: Evenfall, #2) ",Julie Kagawa,3.91 avg rating , 571 ratings,"score: 1,286",14 people voted
 The Kaiju Preservation Society ,John Scalzi,4.14 avg rating ," 12,162 ratings","score: 1,264",15 people voted
" Abandoned in Death (In Death, #54) ",J.D. Robb,4.47 avg rating ," 14,051 ratings","score: 1,222",13 people voted
" Blood of Troy (Daughter of Sparta, #2) ",Claire M. Andrews,4.41 avg rating , 17 ratings,"score: 1,200",14 people voted
" Loathe to Love You (The STEMinist Novellas, #1-3) ",Ali Hazelwood,4.36 avg rating , 58 ratings,"score: 1,124",14 people voted
" A River Enchanted (Elements of Cadence, #1) ",Rebecca   Ross,4.15 avg rating ," 8,049 ratings","score: 1,122",13 people voted
" Saga, Volume 10 ",Brian K. Vaughan,4.55 avg rating , 127 ratings,"score: 1,112",13 people voted
 Dark Room Etiquette ,Robin Roe,4.67 avg rating , 33 ratings,"score: 1,100",11 people voted
" The Crossing Gate  (A Waltz of Sin and Fire, #1) ",Asiel R. Lavie,4.01 avg rating , 197 ratings,"score: 1,089",12 people voted
" Sword Catcher (Sword Catcher, #1) ",Cassandra Clare,4.09 avg rating , 44 ratings,"score: 1,087",13 people voted
 Bitter (Pet #0.5) ,Akwaeke Emezi,4.20 avg rating ," 1,548 ratings","score: 1,036",11 people voted
" Running Wild (Wild, #3) ",K.A. Tucker,4.26 avg rating ," 9,209 ratings","score: 1,029",12 people voted
" The Long Game (Game Changers, #6) ",Rachel  Reid,4.69 avg rating ," 3,232 ratings","score: 1,027",11 people voted
 A Taste of Gold and Iron ,Alexandra Rowland,4.35 avg rating , 146 ratings,"score: 1,026",12 people voted
 One Italian Summer ,Rebecca Serle,3.73 avg rating ," 33,381 ratings",score: 992,11 people voted
 The Winners (Beartown #3) ,Fredrik Backman,4.47 avg rating ," 1,287 ratings",score: 991,11 people voted
 The Sunbearer Trials (The Sunbearer Duology #1) ,Aiden Thomas,4.72 avg rating , 54 ratings,score: 987,12 people voted
 The Choice (The Dragon Heart Legacy #3) ,Nora Roberts,4.27 avg rating , 56 ratings,score: 986,12 people voted
" Well Traveled (Well Met, #4) ",Jen DeLuca,4.41 avg rating , 17 ratings,score: 967,12 people voted
" The Martian Contingency (Lady Astronaut Universe, #4) ",Mary Robinette Kowal,3.20 avg rating , 10 ratings,score: 947,11 people voted
" Greywaren (Dreamer Trilogy, #3) ",Maggie Stiefvater,4.59 avg rating , 29 ratings,score: 913,10 people voted
" The Girl and the Moon (Book of the Ice, #3) ",Mark  Lawrence,4.40 avg rating , 933 ratings,score: 909,10 people voted
" The Luminaries (The Luminaries, #1) ",Susan Dennard,4.38 avg rating , 69 ratings,score: 905,11 people voted
" Court (Crave, #4) ",Tracy Wolff,4.25 avg rating ," 10,873 ratings",score: 896,11 people voted
 Sweet Love and Country Roads (First Comes Love #7) ,Camilla Isley,4.52 avg rating , 21 ratings,score: 896,9 people voted
 Youngblood ,Sasha Laurens,4.04 avg rating , 49 ratings,score: 895,11 people voted
" This Vicious Grace (The Last Finestra, #1) ",Emily Thiede,4.31 avg rating , 536 ratings,score: 890,10 people voted
 An Arrow to the Moon ,Emily X.R. Pan,3.64 avg rating ," 1,036 ratings",score: 880,11 people voted
" Untitled (Threads of Power, #1) ",V.E. Schwab,4.10 avg rating , 39 ratings,score: 878,11 people voted
 The Woman in the Library ,Sulari Gentill,3.78 avg rating ," 1,263 ratings",score: 877,10 people voted
 Kiss & Tell ,Adib Khorram,3.79 avg rating ," 1,518 ratings",score: 875,11 people voted
 Monsters Born and Made ,Tanvi Berwah,4.18 avg rating , 110 ratings,score: 875,11 people voted
" Munro (Immortals After Dark, #18) ",Kresley Cole,4.30 avg rating ," 4,394 ratings",score: 858,9 people voted
 Into the Riverlands (The Singing Hills Cycle #3) ,Nghi Vo,4.50 avg rating , 22 ratings,score: 855,9 people voted
 These Deadly Games ,Diana Urban,3.75 avg rating ," 1,656 ratings",score: 854,10 people voted
" Eclipse the Moon (Starlight's Shadow, #2) ",Jessie Mihalik,4.26 avg rating , 107 ratings,score: 848,10 people voted
" Heartstopper: Volume Five (Heartstopper, #5) ",Alice Oseman,4.47 avg rating ," 2,657 ratings",score: 842,9 people voted
" A Mirror Mended (Fractured Fables, #2) ",Alix E. Harrow,4.17 avg rating , 296 ratings,score: 816,10 people voted
" For the Throne (Wilderwood, #2) ",Hannah F. Whitten,4.20 avg rating , 210 ratings,score: 802,10 people voted
 In a Garden Burning Gold ,Rory Power,3.58 avg rating , 600 ratings,score: 791,9 people voted
" Under One Roof (The STEMinist Novellas, #1) ",Ali Hazelwood,3.86 avg rating ," 28,682 ratings",score: 788,10 people voted
 One for All ,Lillie Lainoff,4.08 avg rating , 922 ratings,score: 783,9 people voted
 Dauntless ,Elisa A. Bonnin,4.37 avg rating , 46 ratings,score: 783,9 people voted
 One Night on the Island ,Josie Silver,3.81 avg rating ," 13,673 ratings",score: 783,9 people voted
 Second Star to the Left ,Megan Van Dyke,4.19 avg rating , 557 ratings,score: 778,9 people voted
 All That's Left in the World ,Erik J. Brown,4.34 avg rating ," 3,788 ratings",score: 778,9 people voted
" The Gentleman's Gambit (A League of Extraordinary Women, #4) ",Evie Dunmore,4.48 avg rating , 21 ratings,score: 768,9 people voted
 Out of the Blue ,Jason June,3.77 avg rating , 175 ratings,score: 766,9 people voted
" Forever (Lair of the Wolven, #2) ",J.R. Ward,4.32 avg rating , 25 ratings,score: 754,8 people voted
" A Cruel and Fated Light (The Hollow Star Saga, #2) ",Ashley Shuttleworth,4.53 avg rating , 136 ratings,score: 744,9 people voted
" Seasonal Fears (Alchemical Journeys, #2) ",Seanan McGuire,4.07 avg rating , 692 ratings,score: 744,9 people voted
" A Hard Day for a Hangover (Sunshine Vicram, #3) ",Darynda Jones,4.62 avg rating , 24 ratings,score: 742,8 people voted
 Long Story Short ,Serena Kaylor,4.30 avg rating , 227 ratings,score: 737,9 people voted
 Spear ,Nicola Griffith,4.23 avg rating , 837 ratings,score: 717,9 people voted
" The Dragon's Promise (Six Crimson Cranes, #2) ",Elizabeth Lim,4.05 avg rating , 234 ratings,score: 717,10 people voted
" This Wicked Fate (This Poison Heart, #2) ",Kalynn  Bayron,4.38 avg rating , 128 ratings,score: 710,9 people voted
 Extasia ,Claire Legrand,3.57 avg rating , 776 ratings,score: 707,9 people voted
" Charm (Crave, #5) ",Tracy Wolff,4.37 avg rating , 172 ratings,score: 706,8 people voted
 The Christie Affair ,Nina de Gramont,3.76 avg rating ," 24,465 ratings",score: 705,9 people voted
 Perils of Sea and Sky ,Lilian Horn,4.40 avg rating , 5 ratings,score: 700,7 people voted
 In Hiding we Seek (Gemini Warriors #1) ,Keko V,it was amazing 5.00 avg rating , 9 ratings,score: 700,7 people voted
 Nightwork ,Nora Roberts,4.50 avg rating ," 1,502 ratings",score: 694,8 people voted
 Black Cake ,Charmaine Wilkerson,4.19 avg rating ," 32,584 ratings",score: 691,8 people voted
" Desperation in Death (In Death, #55) ",J.D. Robb,4.45 avg rating , 49 ratings,score: 689,8 people voted
 Carrie Soto Is Back ,Taylor Jenkins Reid,4.52 avg rating , 513 ratings,score: 687,9 people voted
 Upgrade ,Blake Crouch,4.17 avg rating ," 1,060 ratings",score: 682,9 people voted
 The Ones We Burn ,Rebecca Mix,4.70 avg rating , 190 ratings,score: 678,8 people voted
 The Dark Prince ,H.M. Ward,really liked it 4.00 avg rating , 2 ratings,score: 659,8 people voted
" Moon Witch, Spider King (The Dark Star Trilogy #2) ",Marlon James,4.21 avg rating ," 1,412 ratings",score: 656,7 people voted
" Stuck with You (The STEMinist Novellas, #2) ",Ali Hazelwood,3.80 avg rating ," 7,135 ratings",score: 653,8 people voted
 The Spare Man ,Mary Robinette Kowal,really liked it 4.00 avg rating , 18 ratings,score: 651,7 people voted
 Other Birds ,Sarah Addison Allen,4.34 avg rating , 302 ratings,score: 651,7 people voted
 The School for Good Mothers ,Jessamine Chan,3.57 avg rating ," 24,973 ratings",score: 650,8 people voted
 A Lady for a Duke ,Alexis  Hall,4.43 avg rating ," 1,092 ratings",score: 643,7 people voted
 Dating Dr. Dil (If Shakespeare was an Auntie #1) ,Nisha Sharma,3.81 avg rating ," 17,169 ratings",score: 633,7 people voted
 Dance with the Devil (Mercenary Librarians #3) ,Kit Rocha,4.37 avg rating , 19 ratings,score: 627,8 people voted
" The Grief of Stones  (The Cemeteries of Amalo, #2) ",Katherine Addison,4.21 avg rating , 58 ratings,score: 614,7 people voted
 You Made a Fool of Death with Your Beauty ,Akwaeke Emezi,3.98 avg rating ," 1,061 ratings",score: 609,7 people voted
" The City of Dusk (The Dark Gods, #1) ",Tara Sim,3.74 avg rating , 857 ratings,score: 602,8 people voted
" From Dust, a Flame ",Rebecca Podos,3.96 avg rating , 301 ratings,score: 598,8 people voted
" Never Been Kissed (Boy Meets Boy, #1) ",Timothy Janovsky,3.91 avg rating , 860 ratings,score: 592,8 people voted
 How High We Go in the Dark ,Sequoia Nagamatsu,3.94 avg rating ," 11,017 ratings",score: 588,7 people voted
 All the Seas of the World ,Guy Gavriel Kay,4.36 avg rating , 307 ratings,score: 585,7 people voted
 What Monstrous Gods ,Rosamund Hodge,3.72 avg rating , 36 ratings,score: 569,7 people voted
" Night of the Raven, Dawn of the Dove ",Rati Mehrotra,4.33 avg rating , 61 ratings,score: 561,7 people voted
" The Damaged (The Insiders Trilogy, #2) ",Tijan,4.38 avg rating ," 1,950 ratings",score: 558,6 people voted
 Memphis ,Tara M. Stringfellow,4.23 avg rating ," 4,757 ratings",score: 556,6 people voted
" Tokyo Dreaming (Tokyo Ever After, #2) ",Emiko Jean,4.08 avg rating , 414 ratings,score: 556,6 people voted
" The River of Silver: Tales from the Daevabad Trilogy (The Daevabad Trilogy, #3.5) ",S.A. Chakraborty,4.51 avg rating , 550 ratings,score: 549,7 people voted
 Beauty and the Baller ,Ilsa Madden-Mills,4.24 avg rating ," 10,998 ratings",score: 542,6 people voted
" The Lady Tempts an Heir (The Gilded Age Heiresses, #3) ",Harper St. George,3.91 avg rating ," 1,402 ratings",score: 527,6 people voted
 Violeta ,Isabel Allende,4.07 avg rating ," 20,868 ratings",score: 526,6 people voted
 Queen of the Tiles ,Hanna Alkaf,3.85 avg rating , 654 ratings,score: 525,6 people voted
 The New Girl ,Jesse Q. Sutanto,3.42 avg rating ," 1,543 ratings",score: 519,6 people voted
 Ten Trends to Seduce Your Bestfriend ,Penny Reid,4.10 avg rating ," 4,072 ratings",score: 517,6 people voted
" The Bootleg Coal Rebellion: The Pennsylvania Miners Who Seized an Industry, 1925–1942 ",Mitch Troutman,it was amazing 5.00 avg rating , 1 rating,score: 500,5 people voted
 My Dearest Darkest ,Kayla Cottingham,3.88 avg rating , 942 ratings,score: 496,6 people voted
 Let Me Be Frank: A Book About Women Who Dressed Like Men to Do Shit They Weren't Supposed to Do ,Tracy  Dawson,4.55 avg rating , 20 ratings,score: 494,5 people voted
 Hell Followed with Us ,Andrew Joseph White,4.37 avg rating , 397 ratings,score: 494,6 people voted
 Our Lady of Mysterious Ailments (Edinburgh Nights #2) ,T.L. Huchu,4.05 avg rating , 760 ratings,score: 490,6 people voted
" The Thousand Eyes  (The Serpent Gates, #2) ",A.K. Larkwood,4.17 avg rating , 683 ratings,score: 485,6 people voted
" The Heart of Us (Love in Isolation, #4) ",Kennedy Fox,4.20 avg rating , 557 ratings,score: 478,6 people voted
" The Family You Make (Sunrise Cove, #1) ",Jill Shalvis,4.15 avg rating ," 3,995 ratings",score: 468,5 people voted
 Spy Dust | Mafia Romance & Spy Thriller ,Laureline Ducros,4.54 avg rating , 166 ratings,score: 461,5 people voted
 Ophelia After All ,Racquel Marie,4.31 avg rating ," 2,296 ratings",score: 459,5 people voted
 The Ballad of Never After (Once Upon a Broken Heart #2) ,Stephanie Garber,4.72 avg rating , 243 ratings,score: 457,5 people voted
 Fake It Till You Bake It ,Jamie Wesley,3.67 avg rating , 576 ratings,score: 455,5 people voted
 Motel ,Penelope Douglas,4.39 avg rating , 83 ratings,score: 455,5 people voted
" Shadows in the Deep (Realms of Lore, #1) ",Helena V. Paris,4.57 avg rating , 7 ratings,score: 453,6 people voted
 Heartbreaker (Hell's Belles #2) ,Sarah MacLean,4.52 avg rating , 27 ratings,score: 449,5 people voted
 Kaikeyi ,Vaishnavi Patel,4.31 avg rating ," 4,086 ratings",score: 449,6 people voted
" The Heretic Royal (The Scarred Earth Saga, #3) ",G.A. Aiken,really liked it 4.00 avg rating , 11 ratings,score: 446,5 people voted
 The Bodyguard ,Katherine Center,4.36 avg rating ," 1,610 ratings",score: 446,6 people voted
" In the Serpent's Wake (Tess of the Road, #2) ",Rachel Hartman,3.98 avg rating , 501 ratings,score: 445,5 people voted
 The Diamond Eye ,Kate Quinn,4.34 avg rating ," 18,823 ratings",score: 441,5 people voted
 The American Roommate Experiment ,Elena  Armas,4.40 avg rating , 207 ratings,score: 434,5 people voted
 Reckless Girls ,Rachel Hawkins,3.63 avg rating ," 50,355 ratings",score: 433,5 people voted
 The Wedding Crasher ,Mia Sosa,3.86 avg rating ," 6,650 ratings",score: 426,5 people voted
" The Hustler Next Door (Polson Falls, #2) ",K.A. Tucker,really liked it 4.00 avg rating , 8 ratings,score: 423,5 people voted
 Wild and Wicked Things ,Francesca  May,3.61 avg rating ," 1,247 ratings",score: 419,7 people voted
 The Book of Gothel ,Mary McMyne,4.21 avg rating , 58 ratings,score: 418,5 people voted
 Olga Dies Dreaming ,Xóchitl González,4.03 avg rating ," 15,401 ratings",score: 411,5 people voted
 The 99 Boyfriends of Micah Summers ,Adam  Sass,4.58 avg rating , 24 ratings,score: 408,5 people voted
 Young Mungo ,Douglas   Stuart,4.46 avg rating ," 6,023 ratings",score: 407,5 people voted
 The Golden Couple ,Greer Hendricks,4.03 avg rating ," 52,885 ratings",score: 406,5 people voted
 The Temperature of Me and You ,Brian Zepka,3.58 avg rating ," 1,059 ratings",score: 405,5 people voted
 She Gets the Girl ,Rachael Lippincott,4.26 avg rating ," 5,402 ratings",score: 403,5 people voted
 Witches Be Trippin' ,Ellie Aiden,4.74 avg rating , 27 ratings,score: 400,4 people voted
 The Things We Lost ,Maggie Giles,4.20 avg rating , 65 ratings,score: 398,4 people voted
 Less Is Lost ,Andrew Sean Greer,4.04 avg rating , 26 ratings,score: 397,4 people voted
 Places We've Never Been ,Kasie West,4.04 avg rating , 324 ratings,score: 396,5 people voted
" The Other Half of the Grave (Night Huntress, #1.1) ",Jeaniene Frost,4.51 avg rating ," 2,267 ratings",score: 395,4 people voted
" The Hunger of the Gods (The Bloodsworn Saga, #2) ",John Gwynne,4.61 avg rating ," 2,449 ratings",score: 391,5 people voted
 League of Liars ,Astrid Scholte,3.63 avg rating , 892 ratings,score: 384,5 people voted
" The Atlas Six (The Atlas, #1) ",Olivie Blake,3.92 avg rating ," 49,387 ratings",score: 384,6 people voted
 The Agathas ,Kathleen Glasgow,4.09 avg rating ," 1,220 ratings",score: 383,5 people voted
 Wingwalkers ,Taylor  Brown,3.89 avg rating , 143 ratings,score: 381,4 people voted
 Release the Wolves ,Stefan Bachmann,it was amazing 5.00 avg rating , 1 rating,score: 377,4 people voted
" Untitled (Dark Rise, #2) ",C.S. Pacat,4.96 avg rating , 24 ratings,score: 375,5 people voted
 The Fortune Men ,Nadifa Mohamed,3.85 avg rating ," 2,684 ratings",score: 373,4 people voted
" The Godborn and the King (The Raven and the Dove, #4) ",Kaitlyn Davis,4.44 avg rating , 36 ratings,score: 366,4 people voted
" Blood Scion (Blood Scion, #1) ",Deborah Falaye,4.06 avg rating ," 1,030 ratings",score: 366,5 people voted
 The Bone Shard War (The Drowning Empire #3) ,Andrea Stewart,really liked it 4.00 avg rating , 7 ratings,score: 366,4 people voted
 The House with the Golden Door (Wolf Den Trilogy #2) ,Elodie Harper,4.45 avg rating , 504 ratings,score: 365,4 people voted
 Alone Out Here ,Riley Redgate,3.63 avg rating , 310 ratings,score: 364,4 people voted
 A Flicker in the Dark ,Stacy Willingham,4.03 avg rating ," 60,094 ratings",score: 359,4 people voted
 Pretty Dead Queens ,Alexa Donne,4.44 avg rating , 59 ratings,score: 358,4 people voted
 Osmo Unknown and the Eightpenny Woods ,Catherynne M. Valente,4.57 avg rating , 70 ratings,score: 353,4 people voted
